FECHA,MES,RANGO HORARIO,DIA SEMANA,DISTRITO,LUGAR DEL ACCIDENTE,NUM PARTE,NUM VICTIMAS,TIPO ACCIDENTE,TIPO PERSONA,SEXO,LESIVIDAD,Tramo Edad
2018-04-24,ABRIL,DE 12:00 A 12:59,MARTES,CARABANCHEL,CALLE DE LOLA MEMBRIVES NUM 5,2018/4393,1,ATROPELLO                               ,CONDUCTOR,NO ASIGNADO,NO ASIGNADA,DESCONOCIDA
2018-04-24,ABRIL,DE 16:00 A 16:59,MARTES,CIUDAD LINEAL,CALLE DE SANTA GENOVEVA NUM 26,2018/4271,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 18 A 20 
2018-04-24,ABRIL,DE 21:00 A 21:59,MARTES,MONCLOA-ARAVACA,CALLE DE LA PRINCESA NUM 27,2018/4270,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-04-25,ABRIL,DE 12:00 A 12:59,MIERCOLES,RETIRO,AVENIDA DE MENENDEZ PELAYO - CALLE DE GRANADA 0,2018/4340,1,CAIDA BICICLETA                         ,CONDUCTOR,MUJER,HL                                      ,DE 21 A 24 
2018-04-25,ABRIL,DE 16:00 A 16:59,MIERCOLES,PUENTE DE VALLECAS,CALLE DE HISTORIAS DE LA RADIO NUM1,2018/4326,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 30 A 34 
2018-04-26,ABRIL,DE 11:00 A 11:59,JUEVES,CENTRO,CALLE DE ALCALA - CALLE DE CEDACEROS 0,2018/4454,1,CAIDA BICICLETA                         ,CONDUCTOR,MUJER,HL                                      ,DE 35 A 39 
2018-04-26,ABRIL,DE 15:00 A 15:59,JUEVES,USERA,AVENIDA DE LOS POBLADOS - CAMINO  VIEJO DE VILLAVERDE  0,2018/4544,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-04-26,ABRIL,DE 20:00 A 20:59,JUEVES,VILLA DE VALLECAS,CALLE DE SIERRA DE GUADALUPE NUM  9,2018/4367,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-04-26,ABRIL,DE 22:00 A 22:59,JUEVES,FUENCARRAL-EL PARDO,CALLE DEL MONASTERIO DE ARLANZA - CALLE DEL REINO DE CANDAYA 0,2018/4376,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 45 A 49 
2018-04-27,ABRIL,DE 8:00 A 8:59,VIERNES,SAN BLAS,CALLE DE JULIAN CAMARILLO - CALLE DE RUFINO GONZALEZ0,2018/4392,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-04-28,ABRIL,DE 17:00 A 17:59,SABADO,SAN BLAS,CALLE DE ALCALA NUM522,2018/4476,1,CAIDA BICICLETA                         ,CONDUCTOR,MUJER,HL                                      ,DE 40 A 44 
2018-04-29,ABRIL,DE 13:00 A 13:59,DOMINGO,RETIRO,PLAZA DE CIBELES NUM  1,2018/4459,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 25 A 29 
2018-04-30,ABRIL,DE 12:00 A 12:59,LUNES,SAN BLAS,CALLE DE DEYANIRA NUM 23,2018/4478,1,ATROPELLO                               ,CONDUCTOR,HOMBRE,HL                                      ,DE 50 A 54 
2018-05-01,MAYO,DE 16:00 A 16:59,MARTES,MONCLOA-ARAVACA,PASEO DEL PIONERO NUM1,2018/4487,2,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 15 A 17 
2018-05-01,MAYO,DE 16:00 A 16:59,MARTES,MONCLOA-ARAVACA,PASEO DEL PIONERO NUM1,2018/4487,2,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HG                                      ,DE 45 A 49 
2018-05-02,MAYO,DE 10:00 A 10:59,MIERCOLES,SAN BLAS,AVENIDA DE LUIS ARAGONÉS NUM4,2018/4521,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 60 A 64 
2018-05-02,MAYO,DE 11:00 A 11:59,MIERCOLES,MONCLOA-ARAVACA,CARRETERA DE LA CIUDAD UNIVERSITARIA KM.1,2018/4812,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HG                                      ,DE 60 A 64 
2018-05-02,MAYO,DE 18:00 A 18:59,MIERCOLES,PUENTE DE VALLECAS,AVENIDA DE LA ALBUFERA - CALLE DE JOSEFA DIAZ 0,2018/4546,1,COLISION DOBLE                          ,CONDUCTOR,HOMBRE,HL                                      ,DE 30 A 34 
2018-05-02,MAYO,DE 18:00 A 18:59,MIERCOLES,USERA,CALLE DE JUAN ESPAOL NUM15,2018/4785,2,ATROPELLO                               ,CONDUCTOR,HOMBRE,HL                                      ,DE 30 A 34 
2018-05-03,MAYO,DE 17:00 A 17:59,JUEVES,RETIRO,CALLE DE CLAUDIO MOYANO NUM 1,2018/4553,1,CAIDA BICICLETA                         ,CONDUCTOR,HOMBRE,HL                                      ,DE 40 A 44 
2018-05-05,MAYO,DE 9:00 A 9:59,SABADO,CENTRO,CALLE DE LA MONTERA NUM  18,2018/4609,1,ATROPELLO                               ,CONDUCTOR,HOMBRE,IL                                      ,DE 18 A 20 
